setting,seed,seq_len,logical_batch,microbatch,accuracy,mia_auc,tpr1,epsilon,elapsed_s
dp_mid,42,96,8,2,0.668,0.4939,0.0195,13.251038489926316,58.2
dp_mid,123,96,8,2,0.457,0.5186,0.0039,13.251038489926316,58.8
dp_mid,456,96,8,2,0.6133,0.5433,0.0234,13.251038489926316,58.7
dp_mid,42,96,16,2,0.5977,0.4898,0.0156,16.160828654091222,57.7
dp_mid,123,96,16,2,0.4531,0.5205,0.0039,16.160828654091222,58.8
dp_mid,456,96,16,2,0.6289,0.5526,0.0156,16.160828654091222,58.8
dp_mid,42,128,8,2,0.7109,0.4664,0.0078,13.251038489926316,74.9
dp_mid,123,128,8,2,0.4531,0.5362,0.0,13.251038489926316,75.3
dp_mid,456,128,8,2,0.6445,0.5138,0.0195,13.251038489926316,69.4
dp_mid,42,128,16,2,0.6289,0.469,0.0039,16.160828654091222,104.0
dp_mid,123,128,16,2,0.4531,0.5367,0.0039,16.160828654091222,108.4
dp_mid,456,128,16,2,0.6719,0.5207,0.0352,16.160828654091222,87.9
dp_mid,42,160,8,2,0.6602,0.4917,0.0039,13.251038489926316,82.0
dp_mid,123,160,8,2,0.4531,0.5428,0.0156,13.251038489926316,90.2
dp_mid,456,160,8,2,0.6484,0.5525,0.0234,13.251038489926316,90.7
dp_mid,42,160,16,2,0.6172,0.471,0.0,16.160828654091222,117.0
dp_mid,123,160,16,2,0.4531,0.5436,0.0156,16.160828654091222,128.8
dp_mid,456,160,16,2,0.6328,0.5458,0.0352,16.160828654091222,140.0
non_dp,42,128,8,2,0.7305,0.5195,0.0078,,32.0
non_dp,123,128,8,2,0.6484,0.5638,0.0117,,31.6
non_dp,456,128,8,2,0.6719,0.5453,0.0039,,31.7
